연도,분기,총사육두수,경산우두수,착유우두수,낙농가수,호당사육두수,호당생산량
2000,1분기,536773,301274,257785,14110,38,13682
2000,2분기,542518,307893,262554,13775,39,13811
2000,3분기,541933,307333,257104,13605,40,13200
2000,4분기,543708,307387,255053,13348,41,14128
2001,1분기,540173,307544,265130,13177,41,15288
2001,2분기,544010,314093,262998,13107,42,14568
2001,3분기,550040,315656,261343,13088,42,14697
2001,4분기,548176,312393,258040,12827,43,15848
2002,1분기,548483,313834,270295,12335,44,18722
2002,2분기,545350,311159,262677,12146,45,17346
2002,3분기,543161,307347,254987,12008,45,16519
2002,4분기,543587,304681,252253,11716,46,17614
2003,1분기,551890,310277,261874,11654,47,18109
2003,2분기,541340,306010,254331,11337,48,17285
2003,3분기,526239,296843,244086,10803,49,17012
2003,4분기,518645,291211,241053,10514,49,18309
2004,1분기,517031,291520,245855,10342,50,18922
2004,2분기,509136,288529,241781,10135,50,18564
2004,3분기,503205,287026,239906,9967,50,18056
2004,4분기,497261,282398,236511,9612,52,19707
2005,1분기,496606,283772,244107,9484,52,20715
2005,2분기,490626,282164,236103,9298,53,19859
2005,3분기,485429,276996,230532,9183,53,19218
2005,4분기,478865,270808,227111,8923,54,20664
2006,1분기,481785,271624,234599,8918,54,21777
2006,2분기,471414,266768,224677,8641,55,20750
2006,3분기,467602,264473,221497,8508,55,20453
2006,4분기,464056,262903,220170,8260,56,22027
2007,1분기,460578,261256,226303,8138,57,23986
2007,2분기,456386,260221,220013,7949,57,22996
2007,3분기,455179,257621,216559,7810,58,22119
2007,4분기,453403,255593,215666,7657,59,23558
2008,1분기,449561,253807,218691,7407,61,25660
2008,2분기,445213,252233,214338,7219,62,24815
2008,3분기,444748,250705,210355,7159,62,23463
2008,4분기,445754,248014,209124,7000,64,24929
2009,1분기,447793,250263,216263,7010,64,26284
2009,2분기,439191,247859,210112,6874,64,25453
2009,3분기,437858,246234,208189,6763,65,25204
2009,4분기,444648,247956,208136,6767,66,25961
2010,1분기,449350,250387,216120,6742,67,27047
2010,2분기,431928,243785,207857,6428,67,27606
2010,3분기,429368,242780,207849,6417,67,25850
2010,4분기,429547,241281,203923,6347,68,25892
2011,1분기,396466,221857,192623,5969,66,27395
2011,2분기,402528,230480,195842,6123,66,25556
2011,3분기,403828,228920,197666,6141,66,25671
2011,4분기,403689,228971,190901,6068,67,26305
2012,1분기,403922,233356,203185,5977,68,30511
2012,2분기,409970,244581,208668,6114,67,29253
2012,3분기,417306,247863,211529,6070,69,28515
2012,4분기,420113,248754,209106,6007,70,28481
2013,1분기,419509,247845,214165,5986,70,30563
2013,2분기,418795,246408,207641,5903,71,29368
2013,3분기,422033,246763,208311,5863,72,29266
2013,4분기,424202,246429,205812,5830,73,30224
2014,1분기,427974,248595,214923,5867,73,33121
2014,2분기,423779,248633,209766,5768,73,31661
2014,3분기,428698,250385,208420,5717,75,31272
2014,4분기,430678,248248,208205,5693,76,32622
2015,1분기,424662,243667,208150,5587,76,34226
2015,2분기,418279,238525,202411,5632,74,32282
2015,3분기,417573,237522,201631,5633,74,30843
2015,4분기,411342,233118,197105,5498,75,31917
2016,1분기,408516,230639,197890,5481,75,32924
2016,2분기,402405,227714,192487,5407,74,31710
2016,3분기,407310,230529,195998,5420,75,30958
2016,4분기,404293,229029,193608,5354,76,32137
2017,1분기,399913,226494,195902,5238,76,34809
2017,2분기,402175,227792,193498,5256,77,32756
2017,3분기,411032,245344,208052,6658,62,24865
2017,4분기,409243,241668,204934,6596,62,25544
2018,1분기,408081,241117,204467,6544,62,27586
2018,2분기,404648,242356,205518,6522,62,25988
2018,3분기,407070,243135,206179,6507,63,25477
2018,4분기,407909,241698,204959,6451,63,26433
2019,1분기,407126,241917,205146,6278,65,29092
2019,2분기,400799,240289,203765,6266,64,26934
2019,3분기,404004,240173,203667,6231,65,26326
2019,4분기,408135,240036,203551,6168,66,27666
2020,1분기,409223,240897,204281,6131,67,30103
2020,2분기,405828,240515,203957,6132,66,28372
2020,3분기,408132,240575,204008,6123,67,26757
2020,4분기,409790,238619,202349,6106,67,28248
2021,1분기,406013,240575,204008,6100,67,29403
2021,2분기,399680,233481,197992,6107,65,27926
2021,3분기,399745,233342,197874,6133,65,26464
2021,4분기,400798,231248,196098,6105,66,27450
2022,1분기,396723,229991,195032,6087,65,28724
2022,2분기,387996,226456,192035,5991,65,27350
2022,3분기,389726,226486,192060,5957,65,26486
2022,4분기,389860,225003,190803,5888,66,27377
2023,1분기,384873,224131,190063,5810,66,29319
2023,2분기,382642,226556,192119,5713,67,27864
2023,3분기,386480,228683,193923,5653,68,27431
2023,4분기,386983,227684,193076,5553,70,29094
2024,1분기,382441,227414,192847,5519,69,30926
2024,2분기,378357,227912,193269,5505,69,29682
2024,3분기,380200,229660,194752,5440,70,27709
2024,4분기,382039,227946,193298,5392,71,30176
2025,1분기,377357,225964,191617,5379,70,29730
