연도별,구분,노지 온주밀감,하우스 온주밀감,월동 온주밀감,노지 만감류,하우스 만감류,데이터기준일자
2023,면적(ha),14242,443,869,609,3563,2024-12-31
2023,생산량(톤),405885,26824,30164,3993,112566,2024-12-31
2022,면적(ha),14405,415,889,626,3536,2024-12-31
2022,생산량(톤),428977,25775,27115,4937,95054,2024-12-31
2021,면적(ha),14607,373,916,624,3458,2024-12-31
2021,생산량(톤),467293,27009,25833,4293,88690,2024-12-31
2020,면적(ha),14752,363,943,623,3357,2024-12-31
2020,생산량(톤),515778,25358,31350,4018,78360,2024-12-31
2019,면적(ha),14815,339,932,643,3330,2024-12-31
2019,생산량(톤),491149,27543,30176,3561,78881,2024-12-31
2018,면적(ha),14898,321,935,642,3294,2024-12-31
2018,생산량(톤),467600,22898,36977,3574,76589,2024-12-31
2017,면적(ha),15006,301,901,669,3263,2024-12-31
2017,생산량(톤),440254,22637,35012,3593,75226,2024-12-31
2016,면적(ha),16609.8,284,1336.3,101.9,2159.1,2024-12-31
2016,생산량(톤),466817,21660,37250,2389,71526,2024-12-31
2015,면적(ha),16775,250,1386,99,2013,2024-12-31
2015,생산량(톤),519243,20401,27982,2190,65216,2024-12-31
2014,면적(ha),16941,255,1325,97,1937,2024-12-31
2014,생산량(톤),573442,21571,35950,2018,63782,2024-12-31
2013,면적(ha),17165,262,1223,92,1835,2024-12-31
2013,생산량(톤),554007,19555,34742,1661,62302,2024-12-31
2012,면적(ha),17389,285,1051,112,1758,2024-12-31
2012,생산량(톤),558942,19963,34240,1751,53714,2024-12-31
2011,면적(ha),17626,294.8,910.1,74,1702.9,2024-12-31
2011,생산량(톤),500106,21807,21056,785,44300,2024-12-31
2010,면적(ha),17920.8,312.3,812.9,74,1626.7,2024-12-31
2010,생산량(톤),480565,21602,23485,949,41877,2024-12-31
2005,면적(ha),19085.9,408.7,465.6,57.1,1412.7,2024-12-31
2005,생산량(톤),600511,23751,13434,475,23821,2024-12-31
2000,면적(ha),24261,567,303,71,594,2024-12-31
2000,생산량(톤),518731,27655,6338,427,10190,2024-12-31
